title,author,abstractstract,main_subject,other_subjects,submission_date
Bootstrapping Cookbooks for APIs from Crowd Knowledge on Stack Overflow,"Lucas B. L. Souza, Eduardo C. Campos, Fernanda Madeiral, Klérisson Paixão, Adriano M. Rocha, Marcelo de Almeida Maia","Well established libraries typically have API documentation. However, they
frequently lack examples and explanations, possibly making difficult their
effective reuse. Stack Overflow is a question-and-answer website oriented to
issues related to software development. Despite the increasing adoption of
Stack Overflow, the information related to a particular topic (e.g., an API) is
spread across the website. Thus, Stack Overflow still lacks organization of the
crowd knowledge available on it. Our target goal is to address the problem of
the poor quality documentation for APIs by providing an alternative artifact to
document them based on the crowd knowledge available on Stack Overflow, called
crowd cookbook. A cookbook is a recipe-oriented book, and we refer to our
cookbook as crowd cookbook since it contains content generated by a crowd. The
cookbooks are meant to be used through an exploration process, i.e. browsing.
In this paper, we present a semi-automatic approach that organizes the crowd
knowledge available on Stack Overflow to build cookbooks for APIs. We have
generated cookbooks for three APIs widely used by the software development
community: SWT, LINQ and QT. We have also defined desired properties that crowd
cookbooks must meet, and we conducted an evaluation of the cookbooks against
these properties with human subjects. The results showed that the cookbooks
built using our approach, in general, meet those properties. As a highlight,
most of the recipes were considered appropriate to be in the cookbooks and have
self-contained information. We concluded that our approach is capable to
produce adequate cookbooks automatically, which can be as useful as manually
produced cookbooks. This opens an opportunity for API designers to enrich
existent cookbooks with the different points of view from the crowd, or even to
generate initial versions of new cookbooks.",Software Engineering (cs.SE),,[Submitted on 21 Mar 2019]
Long range teleoperation for fine manipulation tasks under time-delay network conditions,"Jun Jin, Laura Petrich, Shida He, Masood Dehghan, Martin Jagersand","We present a coarse-to-fine approach based semi-autonomous teleoperation
system using vision guidance. The system is optimized for long range
teleoperation tasks under time-delay network conditions and does not require
prior knowledge of the remote scene. Our system initializes with a self
exploration behavior that senses the remote surroundings through a freely
mounted eye-in-hand web cam. The self exploration stage estimates hand-eye
calibration and provides a telepresence interface via real-time 3D geometric
reconstruction. The human operator is able to specify a visual task through the
interface and a coarse-to-fine controller guides the remote robot enabling our
system to work in high latency networks. Large motions are guided by coarse 3D
estimation, whereas fine motions use image cues (IBVS). Network data
transmission cost is minimized by sending only sparse points and a final image
to the human side. Experiments from Singapore to Canada on multiple tasks were
conducted to show our system's capability to work in long range teleoperation
tasks.",Robotics (cs.RO),,[Submitted on 21 Mar 2019]
Comparison of State-of-the-Art Deep Learning APIs for Image Multi-Label Classification using Semantic Metrics,"Adam Kubany, Shimon Ben Ishay, Ruben-sacha Ohayon, Armin Shmilovici, Lior Rokach, Tomer Doitshman","Image understanding heavily relies on accurate multi-label classification. In
recent years, deep learning algorithms have become very successful for such
tasks, and various commercial and open-source APIs have been released for
public use. However, these APIs are often trained on different datasets, which,
besides affecting their performance, might pose a challenge to their
performance evaluation. This challenge concerns the different object-class
dictionaries of the APIs' training dataset and the benchmark dataset, in which
the predicted labels are semantically similar to the benchmark labels but
considered different simply because they have different wording in the
dictionaries. To face this challenge, we propose semantic similarity metrics to
obtain richer understating of the APIs predicted labels and thus their
performance. In this study, we evaluate and compare the performance of 13 of
the most prominent commercial and open-source APIs in a best-of-breed challenge
on the Visual Genome and Open Images benchmark datasets. Our findings
demonstrate that, while using traditional metrics, the Microsoft Computer
Vision, Imagga, and IBM APIs performed better than others. However, applying
semantic metrics also unveil the InceptionResNet-v2, Inception-v3, and ResNet50
APIs, which are trained only with the simple ImageNet dataset, as challengers
for top semantic performers.",Computer Vision and Pattern Recognition (cs.CV),,"[Submitted on 21 Mar 2019 (v1), last revised 11 Jun 2020 (this version, v4)]"
Hierarchical Propagation Networks for Fake News Detection: Investigation and Exploitation,"Kai Shu, Deepak Mahudeswaran, Suhang Wang, Huan Liu","Consuming news from social media is becoming increasingly popular. However,
social media also enables the widespread of fake news. Because of its
detrimental effects brought by social media, fake news detection has attracted
increasing attention. However, the performance of detecting fake news only from
news content is generally limited as fake news pieces are written to mimic true
news. In the real world, news pieces spread through propagation networks on
social media. The news propagation networks usually involve multi-levels. In
this paper, we study the challenging problem of investigating and exploiting
news hierarchical propagation network on social media for fake news detection.
In an attempt to understand the correlations between news propagation
networks and fake news, first, we build a hierarchical propagation network from
macro-level and micro-level of fake news and true news; second, we perform a
comparative analysis of the propagation network features of linguistic,
structural and temporal perspectives between fake and real news, which
demonstrates the potential of utilizing these features to detect fake news;
third, we show the effectiveness of these propagation network features for fake
news detection. We further validate the effectiveness of these features from
feature important analysis. Altogether, this work presents a data-driven view
of hierarchical propagation network and fake news and paves the way towards a
healthier online news ecosystem.",Social and Information Networks (cs.SI),,[Submitted on 21 Mar 2019]
Sparse2Dense: From direct sparse odometry to dense 3D reconstruction,"Jiexiong Tang, John Folkesson, Patric Jensfelt","In this paper, we proposed a new deep learning based dense monocular SLAM
method. Compared to existing methods, the proposed framework constructs a dense
3D model via a sparse to dense mapping using learned surface normals. With
single view learned depth estimation as prior for monocular visual odometry, we
obtain both accurate positioning and high quality depth reconstruction. The
depth and normal are predicted by a single network trained in a tightly coupled
manner.Experimental results show that our method significantly improves the
performance of visual tracking and depth prediction in comparison to the
state-of-the-art in deep monocular dense SLAM.",Robotics (cs.RO),; Computer Vision and Pattern Recognition (cs.CV),[Submitted on 21 Mar 2019]
Rate-Flexible Fast Polar Decoders,"Seyyed Ali Hashemi, Carlo Condo, Marco Mondelli, Warren J. Gross","Polar codes have gained extensive attention during the past few years and
recently they have been selected for the next generation of wireless
communications standards (5G). Successive-cancellation-based (SC-based)
decoders, such as SC list (SCL) and SC flip (SCF), provide a reasonable error
performance for polar codes at the cost of low decoding speed. Fast SC-based
decoders, such as Fast-SSC, Fast-SSCL, and Fast-SSCF, identify the special
constituent codes in a polar code graph off-line, produce a list of operations,
store the list in memory, and feed the list to the decoder to decode the
constituent codes in order efficiently, thus increasing the decoding speed.
However, the list of operations is dependent on the code rate and as the rate
changes, a new list is produced, making fast SC-based decoders not
rate-flexible. In this paper, we propose a completely rate-flexible fast
SC-based decoder by creating the list of operations directly in hardware, with
low implementation complexity. We further propose a hardware architecture
implementing the proposed method and show that the area occupation of the
rate-flexible fast SC-based decoder in this paper is only $38\%$ of the total
area of the memory-based base-line decoder when 5G code rates are supported.",Information Theory (cs.IT),,[Submitted on 21 Mar 2019]
A Simulation Based Dynamic Evaluation Framework for System-wide Algorithmic Fairness,"Efrén Cruz Cortés, Debashis Ghosh","We propose the use of Agent Based Models (ABMs) inside a reinforcement
learning framework in order to better understand the relationship between
automated decision making tools, fairness-inspired statistical constraints, and
the social phenomena giving rise to discrimination towards sensitive groups.
There have been many instances of discrimination occurring due to the
applications of algorithmic tools by public and private institutions. Until
recently, these practices have mostly gone unchecked. Given the large-scale
transformation these new technologies elicit, a joint effort of social sciences
and machine learning researchers is necessary. Much of the research has been
done on determining statistical properties of such algorithms and the data they
are trained on. We aim to complement that approach by studying the social
dynamics in which these algorithms are implemented. We show how bias can be
accumulated and reinforced through automated decision making, and the
possibility of finding a fairness inducing policy. We focus on the case of
recidivism risk assessment by considering simplified models of arrest. We find
that if we limit our attention to what is observed and manipulated by these
algorithmic tools, we may determine some blatantly unfair practices as fair,
illustrating the advantage of analyzing the otherwise elusive property with a
system-wide model. We expect the introduction of agent based simulation
techniques will strengthen collaboration with social scientists, arriving at a
better understanding of the social systems affected by technology and to
hopefully lead to concrete policy proposals that can be presented to
policymakers for a true systemic transformation.",Computers and Society (cs.CY),,[Submitted on 21 Mar 2019]
Exact Topology Learning in a Network of Cyclostationary Processes,"Harish Doddi, Saurav Talukdar, Deepjyoti Deka, Murti Salapaka","Learning the structure of a network from time series data, in particular
cyclostationary data, is of significant interest in many disciplines such as
power grids, biology and finance. In this article, an algorithm is presented
for reconstruction of the topology of a network of cyclostationary processes.
To the best of our knowledge, this is the first work to guarantee exact
recovery without any assumptions on the underlying structure. The method is
based on a lifting technique by which cyclostationary processes are mapped to
vector wide sense stationary processes and further on semi-definite properties
of matrix Wiener filters for the said processes.We demonstrate the performance
of the proposed algorithm on a Resistor-Capacitor network and present the
accuracy of reconstruction for varying sample sizes.",Systems and Control (eess.SY),,"[Submitted on 21 Mar 2019 (v1), last revised 19 Sep 2019 (this version, v2)]"
Multi-person Articulated Tracking with Spatial and Temporal Embeddings,"Sheng Jin, Wentao Liu, Wanli Ouyang, Chen Qian","We propose a unified framework for multi-person pose estimation and tracking.
Our framework consists of two main components,~\ie~SpatialNet and TemporalNet.
The SpatialNet accomplishes body part detection and part-level data association
in a single frame, while the TemporalNet groups human instances in consecutive
frames into trajectories. Specifically, besides body part detection heatmaps,
SpatialNet also predicts the Keypoint Embedding (KE) and Spatial Instance
Embedding (SIE) for body part association. We model the grouping procedure into
a differentiable Pose-Guided Grouping (PGG) module to make the whole part
detection and grouping pipeline fully end-to-end trainable. TemporalNet extends
spatial grouping of keypoints to temporal grouping of human instances. Given
human proposals from two consecutive frames, TemporalNet exploits both
appearance features encoded in Human Embedding (HE) and temporally consistent
geometric features embodied in Temporal Instance Embedding (TIE) for robust
tracking. Extensive experiments demonstrate the effectiveness of our proposed
model. Remarkably, we demonstrate substantial improvements over the
state-of-the-art pose tracking method from 65.4\% to 71.8\% Multi-Object
Tracking Accuracy (MOTA) on the ICCV'17 PoseTrack Dataset.",Computer Vision and Pattern Recognition (cs.CV),,[Submitted on 21 Mar 2019]
Ensemble Observability of Bloch Equations with Unknown Population Density,Xudong Chen,"We introduce in the paper a novel observability problem for a continuum
ensemble of nonholonomic control systems with unknown population density. We
address the problem by focussing on a prototype of such ensemble system,
namely, the ensemble of Bloch equations. The dynamics of the equations are
structurally identical, but show variations in Larmor dispersion and radio
frequency (rf) inhomogeneity. We assume that the initial state of every
individual system is unknown and, moreover, the population density of these
individual systems is also unknown. Furthermore, we assume that at any time,
there is only one scalar measurement output at our disposal. The measurement
output integrates a certain observation function, common to all individual
systems, over the continuum ensemble. The observability problem we pose in the
paper is thus the following: Whether one is able to use the common control
input (i.e., the rf field) and the single measurement output to estimate the
initial states of the individual systems and, moreover, to identify the
population density? Amongst other things, we establish a sufficient condition
for the ensemble system to be observable: We show that if the common
observation function is any harmonic homogeneous polynomial of positive degree,
then the ensemble system is observable. The main focus of the paper is to
demonstrate how to leverage tools from representation theory of Lie algebras to
address the observability problem. Although the results we establish in the
paper are for the specific ensemble of Bloch equations, the approach we develop
along the analysis can be generalized to investigate observability of other
general ensembles of nonholonomic control systems with a single, integrated
measurement output.",Systems and Control (eess.SY),,"[Submitted on 21 Mar 2019 (v1), last revised 29 Apr 2020 (this version, v2)]"
Recovering the Lowest Layer of Deep Networks with High Threshold Activations,"Surbhi Goel, Rina Panigrahy","Giving provable guarantees for learning neural networks is a core challenge
of machine learning theory. Most prior work gives parameter recovery guarantees
for one hidden layer networks, however, the networks used in practice have
multiple non-linear layers. In this work, we show how we can strengthen such
results to deeper networks -- we address the problem of uncovering the lowest
layer in a deep neural network under the assumption that the lowest layer uses
a high threshold before applying the activation, the upper network can be
modeled as a well-behaved polynomial and the input distribution is Gaussian.",Machine Learning (cs.LG),; Machine Learning (stat.ML),"[Submitted on 21 Mar 2019 (v1), last revised 20 Feb 2020 (this version, v2)]"
SkelNetOn 2019: Dataset and Challenge on Deep Learning for Geometric Shape Understanding,"Ilke Demir, Camilla Hahn, Kathryn Leonard, Geraldine Morin, Dana Rahbani, Athina Panotopoulou, Amelie Fondevilla, Elena Balashova, Bastien Durix, Adam Kortylewski","We present SkelNetOn 2019 Challenge and Deep Learning for Geometric Shape
Understanding workshop to utilize existing and develop novel deep learning
architectures for shape understanding. We observed that unlike traditional
segmentation and detection tasks, geometry understanding is still a new area
for deep learning techniques. SkelNetOn aims to bring together researchers from
different domains to foster learning methods on global shape understanding
tasks. We aim to improve and evaluate the state-of-the-art shape understanding
approaches, and to serve as reference benchmarks for future research. Similar
to other challenges in computer vision, SkelNetOn proposes three datasets and
corresponding evaluation methodologies; all coherently bundled in three
competitions with a dedicated workshop co-located with CVPR 2019 conference. In
this paper, we describe and analyze characteristics of datasets, define the
evaluation criteria of the public competitions, and provide baselines for each
task.",Computer Vision and Pattern Recognition (cs.CV),,"[Submitted on 21 Mar 2019 (v1), last revised 22 Jun 2019 (this version, v3)]"
Scalable Similarity Joins of Tokenized Strings,"Ahmed Metwally, Chun-Heng Huang","This work tackles the problem of fuzzy joining of strings that naturally
tokenize into meaningful substrings, e.g., full names. Tokenized-string joins
have several established applications in the context of data integration and
cleaning. This work is primarily motivated by fraud detection, where attackers
slightly modify tokenized strings, e.g., names on accounts, to create numerous
identities that she can use to defraud service providers, e.g., Google, and
LinkedIn. To detect such attacks, all the accounts are pair-wise compared, and
the resulting similar accounts are considered suspicious and are further
investigated. Comparing the tokenized-string features of a large number of
accounts requires an intuitive tokenized-string distance that can detect subtle
edits introduced by an adversary, and a very scalable algorithm. This is not
achievable by existing distance measure that are unintuitive, hard to tune, and
whose join algorithms are serial and hence unscalable. We define a novel
intuitive distance measure between tokenized strings, Normalized Setwise
Levenshtein Distance (NSLD). To the best of our knowledge, NSLD is the first
metric proposed for comparing tokenized strings. We propose a scalable
distributed framework, Tokenized-String Joiner (TSJ), that adopts existing
scalable string-join algorithms as building blocks to perform NSLD-joins. We
carefully engineer optimizations and approximations that dramatically improve
the efficiency of TSJ. The effectiveness of the TSJ framework is evident from
the evaluation conducted on tens of millions of tokenized-string names from
Google accounts. The superiority of the tokenized-string-specific TSJ framework
over the general-purpose metric-spaces joining algorithms has been established.",Information Retrieval (cs.IR),; Databases (cs.DB),[Submitted on 21 Mar 2019]
Deep Radiomics for Brain Tumor Detection and Classification from Multi-Sequence MRI,"Subhashis Banerjee, Sushmita Mitra, Francesco Masulli, Stefano Rovetta","Glioma constitutes 80% of malignant primary brain tumors and is usually
classified as HGG and LGG. The LGG tumors are less aggressive, with slower
growth rate as compared to HGG, and are responsive to therapy. Tumor biopsy
being challenging for brain tumor patients, noninvasive imaging techniques like
Magnetic Resonance Imaging (MRI) have been extensively employed in diagnosing
brain tumors. Therefore automated systems for the detection and prediction of
the grade of tumors based on MRI data becomes necessary for assisting doctors
in the framework of augmented intelligence. In this paper, we thoroughly
investigate the power of Deep ConvNets for classification of brain tumors using
multi-sequence MR images. We propose novel ConvNet models, which are trained
from scratch, on MRI patches, slices, and multi-planar volumetric slices. The
suitability of transfer learning for the task is next studied by applying two
existing ConvNets models (VGGNet and ResNet) trained on ImageNet dataset,
through fine-tuning of the last few layers. LOPO testing, and testing on the
holdout dataset are used to evaluate the performance of the ConvNets. Results
demonstrate that the proposed ConvNets achieve better accuracy in all cases
where the model is trained on the multi-planar volumetric dataset. Unlike
conventional models, it obtains a testing accuracy of 95% for the low/high
grade glioma classification problem. A score of 97% is generated for
classification of LGG with/without 1p/19q codeletion, without any additional
effort towards extraction and selection of features. We study the properties of
self-learned kernels/ filters in different layers, through visualization of the
intermediate layer outputs. We also compare the results with that of
state-of-the-art methods, demonstrating a maximum improvement of 7% on the
grading performance of ConvNets and 9% on the prediction of 1p/19q codeletion
status.",Computer Vision and Pattern Recognition (cs.CV),; Image and Video Processing (eess.IV),[Submitted on 21 Mar 2019]
Repairing mappings under policy views,"Angela Bonifati, Ugo Comignani, Efthymia Tsamoura","The problem of data exchange involves a source schema, a target schema and a
set of mappings from transforming the data between the two schemas. We study
the problem of data exchange in the presence of privacy restrictions on the
source. The privacy restrictions are expressed as a set of policy views
representing the information that is safe to expose over all instances of the
source. We propose a protocol that provides formal privacy guarantees and is
data-independent, i.e., if certain criteria are met, then the protocol
guarantees that the mappings leak no sensitive information independently of the
data that lies in the source. We also propose an algorithm for repairing an
input mapping w.r.t. a set of policy views, in cases where the input mapping
leaks sensitive information. The empirical evaluation of our work shows that
the proposed algorithm is quite efficient, repairing sets of 300 s-t tgds in an
average time of 5s on a commodity machine. To the best of our knowledge, our
work is the first one that studies the problems of exchanging data and
repairing mappings under such privacy restrictions. Furthermore, our work is
the first to provide practical algorithms for a logical privacy-preservation
paradigm, described as an open research challenge in previous work on this
area.",Databases (cs.DB),,[Submitted on 21 Mar 2019]
Inferring Compact Representations for Efficient Natural Language Understanding of Robot Instructions,"Siddharth Patki, Andrea F. Daniele, Matthew R. Walter, Thomas M. Howard","The speed and accuracy with which robots are able to interpret natural
language is fundamental to realizing effective human-robot interaction. A great
deal of attention has been paid to developing models and approximate inference
algorithms that improve the efficiency of language understanding. However,
existing methods still attempt to reason over a representation of the
environment that is flat and unnecessarily detailed, which limits scalability.
An open problem is then to develop methods capable of producing the most
compact environment model sufficient for accurate and efficient natural
language understanding. We propose a model that leverages environment-related
information encoded within instructions to identify the subset of observations
and perceptual classifiers necessary to perceive a succinct,
instruction-specific environment representation. The framework uses three
probabilistic graphical models trained from a corpus of annotated instructions
to infer salient scene semantics, perceptual classifiers, and grounded symbols.
Experimental results on two robots operating in different environments
demonstrate that by exploiting the content and the structure of the
instructions, our method learns compact environment representations that
significantly improve the efficiency of natural language symbol grounding.",Robotics (cs.RO),; Artificial Intelligence (cs.AI); Computation and Language (cs.CL); Machine Learning (cs.LG),[Submitted on 21 Mar 2019]
Low Resource Text Classification with ULMFit and Backtranslation,Sam Shleifer,"In computer vision, virtually every state-of-the-art deep learning system is
trained with data augmentation. In text classification, however, data
augmentation is less widely practiced because it must be performed before
training and risks introducing label noise. We augment the IMDB movie reviews
dataset with examples generated by two families of techniques: random token
perturbations introduced by Wei and Zou [2019] and backtranslation --
translating to a second language then back to English. In low resource
environments, backtranslation generates significant improvement on top of the
state of-the-art ULMFit model. A ULMFit model pretrained on wikitext103 and
then fine-tuned on only 50 IMDB examples and 500 synthetic examples generated
by backtranslation achieves 80.6% accuracy, an 8.1% improvement over the
augmentation-free baseline with only 9 minutes of additional training time.
Random token perturbations do not yield any improvements but incur equivalent
computational cost. The benefits of training with backtranslated examples
decreases with the size of the available training data. On the full dataset,
neither augmentation technique improves upon ULMFit's state of the art
performance. We address this by using backtranslations as a form of test time
augmentation as well as ensembling ULMFit with other models, and achieve small
improvements.",Computation and Language (cs.CL),; Machine Learning (cs.LG),"[Submitted on 21 Mar 2019 (v1), last revised 25 Mar 2019 (this version, v2)]"
Trainable Time Warping: Aligning Time-Series in the Continuous-Time Domain,"Soheil Khorram, Melvin G McInnis, Emily Mower Provost","DTW calculates the similarity or alignment between two signals, subject to
temporal warping. However, its computational complexity grows exponentially
with the number of time-series. Although there have been algorithms developed
that are linear in the number of time-series, they are generally quadratic in
time-series length. The exception is generalized time warping (GTW), which has
linear computational cost. Yet, it can only identify simple time warping
functions. There is a need for a new fast, high-quality multisequence alignment
algorithm. We introduce trainable time warping (TTW), whose complexity is
linear in both the number and the length of time-series. TTW performs alignment
in the continuous-time domain using a sinc convolutional kernel and a
gradient-based optimization technique. We compare TTW and GTW on 85 UCR
datasets in time-series averaging and classification. TTW outperforms GTW on
67.1% of the datasets for the averaging tasks, and 61.2% of the datasets for
the classification tasks.",Machine Learning (cs.LG),; Artificial Intelligence (cs.AI); Computational Complexity (cs.CC); Machine Learning (stat.ML),[Submitted on 21 Mar 2019]
Explain3D: Explaining Disagreements in Disjoint Datasets,"Xiaolan Wang, Alexandra Meliou","Data plays an important role in applications, analytic processes, and many
aspects of human activity. As data grows in size and complexity, we are met
with an imperative need for tools that promote understanding and explanations
over data-related operations. Data management research on explanations has
focused on the assumption that data resides in a single dataset, under one
common schema. But the reality of today's data is that it is frequently
un-integrated, coming from different sources with different schemas. When
different datasets provide different answers to semantically similar questions,
understanding the reasons for the discrepancies is challenging and cannot be
handled by the existing single-dataset solutions.
In this paper, we propose Explain3D, a framework for explaining the
disagreements across disjoint datasets (3D). Explain3D focuses on identifying
the reasons for the differences in the results of two semantically similar
queries operating on two datasets with potentially different schemas. Our
framework leverages the queries to perform a semantic mapping across the
relevant parts of their provenance; discrepancies in this mapping point to
causes of the queries' differences. Exploiting the queries gives Explain3D an
edge over traditional schema matching and record linkage techniques, which are
query-agnostic. Our work makes the following contributions: (1) We formalize
the problem of deriving optimal explanations for the differences of the results
of semantically similar queries over disjoint datasets. (2) We design a 3-stage
framework for solving the optimal explanation problem. (3) We develop a
smart-partitioning optimizer that improves the efficiency of the framework by
orders of magnitude. (4)~We experiment with real-world and synthetic data to
demonstrate that Explain3D can derive precise explanations efficiently.",Databases (cs.DB),,[Submitted on 21 Mar 2019]
CityFlow: A City-Scale Benchmark for Multi-Target Multi-Camera Vehicle Tracking and Re-Identification,"Zheng Tang, Milind Naphade, Ming-Yu Liu, Xiaodong Yang, Stan Birchfield, Shuo Wang, Ratnesh Kumar, David Anastasiu, Jenq-Neng Hwang","Urban traffic optimization using traffic cameras as sensors is driving the
need to advance state-of-the-art multi-target multi-camera (MTMC) tracking.
This work introduces CityFlow, a city-scale traffic camera dataset consisting
of more than 3 hours of synchronized HD videos from 40 cameras across 10
intersections, with the longest distance between two simultaneous cameras being
2.5 km. To the best of our knowledge, CityFlow is the largest-scale dataset in
terms of spatial coverage and the number of cameras/videos in an urban
environment. The dataset contains more than 200K annotated bounding boxes
covering a wide range of scenes, viewing angles, vehicle models, and urban
traffic flow conditions. Camera geometry and calibration information are
provided to aid spatio-temporal analysis. In addition, a subset of the
benchmark is made available for the task of image-based vehicle
re-identification (ReID). We conducted an extensive experimental evaluation of
baselines/state-of-the-art approaches in MTMC tracking, multi-target
single-camera (MTSC) tracking, object detection, and image-based ReID on this
dataset, analyzing the impact of different network architectures, loss
functions, spatio-temporal models and their combinations on task effectiveness.
An evaluation server is launched with the release of our benchmark at the 2019
AI City Challenge (this https URL) that allows researchers to
compare the performance of their newest techniques. We expect this dataset to
catalyze research in this field, propel the state-of-the-art forward, and lead
to deployed traffic optimization(s) in the real world.",Computer Vision and Pattern Recognition (cs.CV),,"[Submitted on 21 Mar 2019 (v1), last revised 5 Apr 2019 (this version, v4)]"
Distributed off-Policy Actor-Critic Reinforcement Learning with Policy Consensus,"Yan Zhang, Michael M. Zavlanos","In this paper, we propose a distributed off-policy actor critic method to
solve multi-agent reinforcement learning problems. Specifically, we assume that
all agents keep local estimates of the global optimal policy parameter and
update their local value function estimates independently. Then, we introduce
an additional consensus step to let all the agents asymptotically achieve
agreement on the global optimal policy function. The convergence analysis of
the proposed algorithm is provided and the effectiveness of the proposed
algorithm is validated using a distributed resource allocation example.
Compared to relevant distributed actor critic methods, here the agents do not
share information about their local tasks, but instead they coordinate to
estimate the global policy function.",Machine Learning (cs.LG),; Artificial Intelligence (cs.AI); Optimization and Control (math.OC); Machine Learning (stat.ML),[Submitted on 21 Mar 2019]
Local Interactions for Cohesive Flexible Swarms,"Rotem Manor, Ariel Barel, Alfred M. Bruckstein","Distributed gathering algorithms aim to achieve complete visibility graphs
via a ""never lose a neighbour"" policy. We suggest a method to maintain
connected graph topologies, while reducing the number of effective edges in the
graph to order n. This allows to achieve different goals and swarming
behaviours: the system remains connected but flexible, hence can maneuver in
environments that are replete with obstacles and narrow passages, etc.",Multiagent Systems (cs.MA),,[Submitted on 21 Mar 2019]
Deep Learning with Anatomical Priors: Imitating Enhanced Autoencoders in Latent Space for Improved Pelvic Bone Segmentation in MRI,"Duc Duy Pham, Gurbandurdy Dovletov, Sebastian Warwas, Stefan Landgraeber, Marcus Jäger, Josef Pauli","We propose a 2D Encoder-Decoder based deep learning architecture for semantic
segmentation, that incorporates anatomical priors by imitating the encoder
component of an autoencoder in latent space. The autoencoder is additionally
enhanced by means of hierarchical features, extracted by an U-Net module. Our
suggested architecture is trained in an end-to-end manner and is evaluated on
the example of pelvic bone segmentation in MRI. A comparison to the standard
U-Net architecture shows promising improvements.",Computer Vision and Pattern Recognition (cs.CV),,[Submitted on 21 Mar 2019]
Reduction of Markov Chains using a Value-of-Information-Based Approach,"Isaac J. Sledge, Jose C. Principe","In this paper, we propose an approach to obtain reduced-order models of
Markov chains. Our approach is composed of two information-theoretic processes.
The first is a means of comparing pairs of stationary chains on different state
spaces, which is done via the negative Kullback-Leibler divergence defined on a
model joint space. Model reduction is achieved by solving a
value-of-information criterion with respect to this divergence. Optimizing the
criterion leads to a probabilistic partitioning of the states in the high-order
Markov chain. A single free parameter that emerges through the optimization
process dictates both the partition uncertainty and the number of state groups.
We provide a data-driven means of choosing the `optimal' value of this free
parameter, which sidesteps needing to a priori know the number of state groups
in an arbitrary chain.",Information Theory (cs.IT),,[Submitted on 21 Mar 2019]
A Computer-Aided System for Determining the Application Range of a Warfarin Clinical Dosing Algorithm Using Support Vector Machines with a Polynomial Kernel Function,"Ashkan Sharabiani, Adam Bress, William Galanter, Rezvan Nazempour, Houshang Darabi","Determining the optimal initial dose for warfarin is a critically important
task. Several factors have an impact on the therapeutic dose for individual
patients, such as patients' physical attributes (Age, Height, etc.), medication
profile, co-morbidities, and metabolic genotypes (CYP2C9 and VKORC1). These
wide range factors influencing therapeutic dose, create a complex environment
for clinicians to determine the optimal initial dose. Using a sample of 4,237
patients, we have proposed a companion classification model to one of the most
popular dosing algorithms (International Warfarin Pharmacogenetics Consortium
(IWPC) clinical model), which identifies the appropriate cohort of patients for
applying this model. The proposed model functions as a clinical decision
support system which assists clinicians in dosing. We have developed a
classification model using Support Vector Machines, with a polynomial kernel
function to determine if applying the dose prediction model is appropriate for
a given patient. The IWPC clinical model will only be used if the patient is
classified as ""Safe for model"". By using the proposed methodology, the dosing
mode's prediction accuracy increases by 15 percent in terms of Root Mean
Squared Error and 17 percent in terms of Mean Absolute Error in dose estimates
of patients classified as ""Safe for model"".",Machine Learning (cs.LG),; Machine Learning (stat.ML),[Submitted on 21 Mar 2019]
Using association rule mining and ontologies to generate metadata recommendations from multiple biomedical databases,"Marcos Martínez-Romero, Martin J. O'Connor, Attila L. Egyedi, Debra Willrett, Josef Hardi, John Graybeal, Mark A. Musen","Metadata-the machine-readable descriptions of the data-are increasingly seen
as crucial for describing the vast array of biomedical datasets that are
currently being deposited in public repositories. While most public
repositories have firm requirements that metadata must accompany submitted
datasets, the quality of those metadata is generally very poor. A key problem
is that the typical metadata acquisition process is onerous and time consuming,
with little interactive guidance or assistance provided to users. Secondary
problems include the lack of validation and sparse use of standardized terms or
ontologies when authoring metadata. There is a pressing need for improvements
to the metadata acquisition process that will help users to enter metadata
quickly and accurately. In this paper we outline a recommendation system for
metadata that aims to address this challenge. Our approach uses association
rule mining to uncover hidden associations among metadata values and to
represent them in the form of association rules. These rules are then used to
present users with real-time recommendations when authoring metadata. The
novelties of our method are that it is able to combine analyses of metadata
from multiple repositories when generating recommendations and can enhance
those recommendations by aligning them with ontology terms. We implemented our
approach as a service integrated into the CEDAR Workbench metadata authoring
platform, and evaluated it using metadata from two public biomedical
repositories: US-based National Center for Biotechnology Information (NCBI)
BioSample and European Bioinformatics Institute (EBI) BioSamples. The results
show that our approach is able to use analyses of previous entered metadata
coupled with ontology-based mappings to present users with accurate
recommendations when authoring metadata.",Databases (cs.DB),; Machine Learning (cs.LG),[Submitted on 21 Mar 2019]
Fast and accurate reconstruction of HARDI using a 1D encoder-decoder convolutional network,"Shi Yin, Zhengqiang Zhang, Qinmu Peng, Xinge You","High angular resolution diffusion imaging (HARDI) demands a lager amount of
data measurements compared to diffusion tensor imaging, restricting its use in
practice. In this work, we explore a learning-based approach to reconstruct
HARDI from a smaller number of measurements in q-space. The approach aims to
directly learn the mapping relationship between the measured and HARDI signals
from the collecting HARDI acquisitions of other subjects. Specifically, the
mapping is represented as a 1D encoder-decoder convolutional neural network
under the guidance of the compressed sensing (CS) theory for HARDI
reconstruction. The proposed network architecture mainly consists of two parts:
an encoder network produces the sparse coefficients and a decoder network
yields a reconstruction result. Experiment results demonstrate we can robustly
reconstruct HARDI signals with the accurate results and fast speed.",Computer Vision and Pattern Recognition (cs.CV),,[Submitted on 21 Mar 2019]
