title,author,abstractstract,main_subject,other_subjects,submission_date
Inferring Personalized Bayesian Embeddings for Learning from Heterogeneous Demonstration,"Rohan Paleja, Matthew Gombolay","For assistive robots and virtual agents to achieve ubiquity, machines will
need to anticipate the needs of their human counterparts. The field of Learning
from Demonstration (LfD) has sought to enable machines to infer predictive
models of human behavior for autonomous robot control. However, humans exhibit
heterogeneity in decision-making, which traditional LfD approaches fail to
capture. To overcome this challenge, we propose a Bayesian LfD framework to
infer an integrated representation of all human task demonstrators by inferring
human-specific embeddings, thereby distilling their unique characteristics. We
validate our approach is able to outperform state-of-the-art techniques on both
synthetic and real-world data sets.",Machine Learning (cs.LG),; Artificial Intelligence (cs.AI); Human-Computer Interaction (cs.HC); Machine Learning (stat.ML),[Submitted on 14 Mar 2019]
MSG-GAN: Multi-Scale Gradients for Generative Adversarial Networks,"Animesh Karnewar, Oliver Wang","While Generative Adversarial Networks (GANs) have seen huge successes in
image synthesis tasks, they are notoriously difficult to adapt to different
datasets, in part due to instability during training and sensitivity to
hyperparameters. One commonly accepted reason for this instability is that
gradients passing from the discriminator to the generator become uninformative
when there isn't enough overlap in the supports of the real and fake
distributions. In this work, we propose the Multi-Scale Gradient Generative
Adversarial Network (MSG-GAN), a simple but effective technique for addressing
this by allowing the flow of gradients from the discriminator to the generator
at multiple scales. This technique provides a stable approach for high
resolution image synthesis, and serves as an alternative to the commonly used
progressive growing technique. We show that MSG-GAN converges stably on a
variety of image datasets of different sizes, resolutions and domains, as well
as different types of loss functions and architectures, all with the same set
of fixed hyperparameters. When compared to state-of-the-art GANs, our approach
matches or exceeds the performance in most of the cases we tried.",Computer Vision and Pattern Recognition (cs.CV),; Machine Learning (cs.LG); Machine Learning (stat.ML),"[Submitted on 14 Mar 2019 (v1), last revised 12 Jun 2020 (this version, v4)]"
Robust Matrix Completion via Maximum Correntropy Criterion and Half Quadratic Optimization,"Yicong He, Fei Wang, Yingsong Li, Jing Qin, Badong Chen","Robust matrix completion aims to recover a low-rank matrix from a subset of
noisy entries perturbed by complex noises, where traditional methods for matrix
completion may perform poorly due to utilizing $l_2$ error norm in
optimization. In this paper, we propose a novel and fast robust matrix
completion method based on maximum correntropy criterion (MCC). The correntropy
based error measure is utilized instead of using $l_2$-based error norm to
improve the robustness to noises. Using the half-quadratic optimization
technique, the correntropy based optimization can be transformed to a weighted
matrix factorization problem. Then, two efficient algorithms are derived,
including alternating minimization based algorithm and alternating gradient
descend based algorithm. The proposed algorithms do not need to calculate
singular value decomposition (SVD) at each iteration. Further, the adaptive
kernel selection strategy is proposed to accelerate the convergence speed as
well as improve the performance. Comparison with existing robust matrix
completion algorithms is provided by simulations, showing that the new methods
can achieve better performance than existing state-of-the-art algorithms.",Information Theory (cs.IT),,[Submitted on 14 Mar 2019]
Deep learning enabled multi-wavelength spatial coherence microscope for the classification of malaria-infected stages with limited labelled data size,"Neeru Singla, Vishal Srivastava","Malaria is a life-threatening mosquito-borne blood disease, hence early
detection is very crucial for health. The conventional method for the detection
is a microscopic examination of Giemsa-stained blood smears, which needs a
highly trained skilled technician. Automated classifications of different
stages of malaria still a challenging task, especially having poor sensitivity
in detecting the early trophozoite and late trophozoite or schizont stage with
limited labelled datasize. The study aims to develop a fast, robust and fully
automated system for the classification of different stages of malaria with
limited data size by using the pre-trained convolutional neural networks (CNNs)
as a classifier and multi-wavelength to increase the sample size. We also
compare our customized CNN with other well-known CNNs and shows that our
network have a comparable performance with less computational time. We believe
that our proposed method can be applied to other limited labelled biological
datasets.",Computer Vision and Pattern Recognition (cs.CV),; Medical Physics (physics.med-ph),[Submitted on 14 Mar 2019]
Stochastic Beams and Where to Find Them: The Gumbel-Top-k Trick for Sampling Sequences Without Replacement,"Wouter Kool, Herke van Hoof, Max Welling","The well-known Gumbel-Max trick for sampling from a categorical distribution
can be extended to sample $k$ elements without replacement. We show how to
implicitly apply this 'Gumbel-Top-$k$' trick on a factorized distribution over
sequences, allowing to draw exact samples without replacement using a
Stochastic Beam Search. Even for exponentially large domains, the number of
model evaluations grows only linear in $k$ and the maximum sampled sequence
length. The algorithm creates a theoretical connection between sampling and
(deterministic) beam search and can be used as a principled intermediate
alternative. In a translation task, the proposed method compares favourably
against alternatives to obtain diverse yet good quality translations. We show
that sequences sampled without replacement can be used to construct
low-variance estimators for expected sentence-level BLEU score and model
entropy.",Machine Learning (cs.LG),; Machine Learning (stat.ML),"[Submitted on 14 Mar 2019 (v1), last revised 29 May 2019 (this version, v2)]"
Maximum Cut Parameterized by Crossing Number,"Markus Chimani, Christine Dahn, Martina Juhnke-Kubitzke, Nils M. Kriege, Petra Mutzel, Alexander Nover","Given an edge-weighted graph $G$ on $n$ nodes, the NP-hard Max-Cut problem
asks for a node bipartition such that the sum of edge weights joining the
different partitions is maximized. We propose a fixed-parameter tractable
algorithm parameterized by the number $k$ of crossings in a given drawing of
$G$. Our algorithm achieves a running time of $O(2^k \cdot p(n + k))$, where
$p$ is the polynomial running time for planar Max-Cut. The only previously
known similar algorithm [8] is restricted to 1-planar graphs (i.e., at most one
crossing per edge) and its dependency on $k$ is of order $3^k$ . A direct
consequence of our result is that Max-Cut is fixed-parameter tractable w.r.t.
the crossing number, even without a given drawing. Moreover, the results
naturally carry over to the minor crossing number.",Data Structures and Algorithms (cs.DS),; Computational Complexity (cs.CC),"[Submitted on 14 Mar 2019 (v1), last revised 22 Jul 2020 (this version, v3)]"
Analysis of Privacy Policies to Enhance Informed Consent (Extended Version),"Raúl Pardo (CITI, PRIVATICS), Daniel Le Métayer (CITI, PRIVATICS)","In this report, we present an approach to enhance informed consent for the
processing of personal data. The approach relies on a privacy policy language
used to express, compare and analyze privacy policies. We describe a tool that
automatically reports the privacy risks associated with a given privacy policy
in order to enhance data subjects' awareness and to allow them to make more
informed choices. The risk analysis of privacy policies is illustrated with an
IoT example.",Cryptography and Security (cs.CR),,"[Submitted on 14 Mar 2019 (v1), last revised 15 Mar 2019 (this version, v2)]"
Attention-Based Structural-Plasticity,"Soheil Kolouri, Nicholas Ketz, Xinyun Zou, Jeffrey Krichmar, Praveen Pilly","Catastrophic forgetting/interference is a critical problem for lifelong
learning machines, which impedes the agents from maintaining their previously
learned knowledge while learning new tasks. Neural networks, in particular,
suffer plenty from the catastrophic forgetting phenomenon. Recently there has
been several efforts towards overcoming catastrophic forgetting in neural
networks. Here, we propose a biologically inspired method toward overcoming
catastrophic forgetting. Specifically, we define an attention-based selective
plasticity of synapses based on the cholinergic neuromodulatory system in the
brain. We define synaptic importance parameters in addition to synaptic weights
and then use Hebbian learning in parallel with backpropagation algorithm to
learn synaptic importances in an online and seamless manner. We test our
proposed method on benchmark tasks including the Permuted MNIST and the Split
MNIST problems and show competitive performance compared to the
state-of-the-art methods.",Neural and Evolutionary Computing (cs.NE),; Machine Learning (cs.LG); Machine Learning (stat.ML),[Submitted on 2 Mar 2019]
Routing-Based Delivery in Combination-Type Networks with Random Topology,"Mozhgan Bayat, Kai Wan, Giuseppe Caire","The coded caching scheme proposed by Maddah-Ali and Niesen (MAN) transmits
coded multicast messages to users equipped with caches and it is known to be
optimal within a constant factor. This work extends this caching scheme to
two-hop relay networks with one main server with access to a library of $N$
files, and $H$ relays communicating with $K$ users with cache, each of which is
connected to a random subset of relays. This topology can be considered as a
generalized version of a celebrated family of networks, referred to as
combination networks. Our approach is simply based on routing MAN packets
through the network. The optimization of the routing can be formulated as a
Linear Program (LP). In addition, to reduce the computation complexity, a
dynamic algorithm is proposed to approach the LP solution. Numerical
simulations show that the proposed scheme outperforms the existing caching
schemes for this class of networks.",Information Theory (cs.IT),,[Submitted on 14 Mar 2019]
Are My Invariants Valid? A Learning Approach,"Vincent J. Hellendoorn, Premkumar T. Devanbu, Oleksandr Polozov, Mark Marron","Ensuring that a program operates correctly is a difficult task in large,
complex systems. Enshrining invariants -- desired properties of correct
execution -- in code or comments can support maintainability and help sustain
correctness. Tools that can automatically infer and recommend invariants can
thus be very beneficial. However, current invariant-suggesting tools, such as
Daikon, suffer from high rates of false positives, in part because they only
leverage traced program values from available test cases, rather than directly
exploiting knowledge of the source code per se. We propose a machine-learning
approach to judging the validity of invariants, specifically of method pre- and
post-conditions, based directly on a method's source code. We introduce a new,
scalable approach to creating labeled invariants: using programs with large
test-suites, we generate Daikon invariants using traces from subsets of these
test-suites, and then label these as valid/invalid by cross-validating them
with held-out tests. This process induces a large set of labels that provide a
form of noisy supervision, which is then used to train a deep neural model,
based on gated graph neural networks. Our model learns to map the lexical,
syntactic, and semantic structure of a given method's body into a probability
that a candidate pre- or post-condition on that method's body is correct and is
able to accurately label invariants based on the noisy signal, even in
cross-project settings. Most importantly, it performs well on a hand-curated
dataset of invariants.",Software Engineering (cs.SE),,"[Submitted on 14 Mar 2019 (v1), last revised 15 Mar 2019 (this version, v2)]"
Multi-Robot Routing for Persistent Monitoring with Latency Constraints,"Ahmad Bilal Asghar, Stephen L. Smith, Shreyas Sundaram","In this paper we study a multi-robot path planning problem for persistent
monitoring of an environment. We represent the areas to be monitored as the
vertices of a weighted graph. For each vertex, there is a constraint on the
maximum time spent by the robots between visits to that vertex, called the
latency, and the objective is to find the minimum number of robots that can
satisfy these latency constraints. The decision version of this problem is
known to be PSPACE-complete. We present a $O(\log \rho)$ approximation
algorithm for the problem where $\rho$ is the ratio of the maximum and the
minimum latency constraints. We also present an orienteering based heuristic to
solve the problem and show through simulations that in most of the cases the
heuristic algorithm gives better solutions than the approximation algorithm. We
evaluate our algorithms on large problem instances in a patrolling scenario and
in a persistent scene reconstruction application. We also compare the
algorithms with an existing solver on benchmark instances.",Robotics (cs.RO),,[Submitted on 14 Mar 2019]
Nuclear Environments Inspection with Micro Aerial Vehicles: Algorithms and Experiments,"Dinesh Thakur, Giuseppe Loianno, Wenxin Liu, Vijay Kumar","In this work, we address the estimation, planning, control and mapping
problems to allow a small quadrotor to autonomously inspect the interior of
hazardous damaged nuclear sites. These algorithms run onboard on a
computationally limited CPU. We investigate the effect of varying illumination
on the system performance. To the best of our knowledge, this is the first
fully autonomous system of this size and scale applied to inspect the interior
of a full scale mock-up of a Primary Containment Vessel (PCV). The proposed
solution opens up new ways to inspect nuclear reactors and to support nuclear
decommissioning, which is well known to be a dangerous, long and tedious
process. Experimental results with varying illumination conditions show the
ability to navigate a full scale mock-up PCV pedestal and create a map of the
environment, while concurrently avoiding obstacles.",Robotics (cs.RO),,[Submitted on 14 Mar 2019]
State complexity of the multiples of the Thue-Morse set,"Émilie Charlier, Célia Cisternino, Adeline Massuir","The Thue-Morse set is the set of those nonnegative integers whose binary
expansions have an even number of $1$. We obtain an exact formula for the state
complexity of the multiplication by a constant of the Thue-Morse set
$\mathcal{T}$ with respect with any base $b$ which is a power of $2$. Our proof
is constructive and we are able to explicitly provide the minimal automaton of
the language of all $2^p$-expansions of the set of integers $m\mathcal{T}$ for
any positive integers $m$ and $p$.",Formal Languages and Automata Theory (cs.FL),; Discrete Mathematics (cs.DM),[Submitted on 10 Mar 2019]
Deep Residual Autoencoder for quality independent JPEG restoration,"Simone Zini, Simone Bianco, Raimondo Schettini","In this paper we propose a deep residual autoencoder exploiting
Residual-in-Residual Dense Blocks (RRDB) to remove artifacts in JPEG compressed
images that is independent from the Quality Factor (QF) used. The proposed
approach leverages both the learning capacity of deep residual networks and
prior knowledge of the JPEG compression pipeline. The proposed model operates
in the YCbCr color space and performs JPEG artifact restoration in two phases
using two different autoencoders: the first one restores the luma channel
exploiting 2D convolutions; the second one, using the restored luma channel as
a guide, restores the chroma channels explotining 3D convolutions. Extensive
experimental results on three widely used benchmark datasets (i.e. LIVE1,
BDS500, and CLASSIC-5) show that our model is able to outperform the state of
the art with respect to all the evaluation metrics considered (i.e. PSNR,
PSNR-B, and SSIM). This results is remarkable since the approaches in the state
of the art use a different set of weights for each compression quality, while
the proposed model uses the same weights for all of them, making it applicable
to images in the wild where the QF used for compression is unkwnown.
Furthermore, the proposed model shows a greater robustness than
state-of-the-art methods when applied to compression qualities not seen during
training.",Computer Vision and Pattern Recognition (cs.CV),,[Submitted on 14 Mar 2019]
Correct Approximation of IEEE 754 Floating-Point Arithmetic for Program Verification,"Roberto Bagnara, Abramo Bagnara, Fabio Biselli, Michele Chiari, Roberta Gori","Verification of programs using floating-point arithmetic is challenging on
several accounts. One of the difficulties of reasoning about such programs is
due to the peculiarities of floating-point arithmetic: rounding errors,
infinities, non-numeric objects (NaNs), signed zeroes, denormal numbers,
different rounding modes.... One possibility to reason about floating-point
arithmetic is to model a program computation path by means of a set of ternary
constraints of the form z = x op y and use constraint propagation techniques to
infer new information on the variables' possible values. In this setting, we
define and prove the correctness of algorithms to precisely bound the value of
one of the variables x, y or z, starting from the bounds known for the other
two. We do this for each of the operations and for each rounding mode defined
by the IEEE 754 binary floating-point standard, even in the case the rounding
mode in effect is only partially known. This is the first time that such
so-called filtering algorithms are defined and their correctness is formally
proved. This is an important slab for paving the way to formal verification of
programs that use floating-point arithmetics.",Programming Languages (cs.PL),,[Submitted on 11 Mar 2019]
Analyzing Occupancy-Driven Thermal Dynamics in Smart Buildings,"Khaza Anuarul Hoque, Nathalie Cauchi, Alessandro Abate","The fact that a proper HVAC control strategy can reduce the energy
consumption of a building by up to 45% has driven significant research in
demand-based HVAC control. This paper presents a novel framework for modeling
and analysis of thermal dynamics in smart buildings that incorporates
building's thermal properties, a stochastic occupancy model and heating
strategies. Each zone of a building is modeled with the help of discrete time
Markov rewards formalism where the states represent the occupancy of that zone
(either occupied or empty), and the state rewards incorporate the thermal
dynamics and heating strategy. To demonstrate the applicability of our proposed
framework, we evaluate and compare six different heating strategies for the two
zone scenario of a university building. The obtained quantitative results from
the PRISM probabilistic model checker show that one of the evaluated control
strategies (viz. selective strategy) satisfies our requirement in terms of
maintaining the occupants' comfort while being up to 13.5 times more cost
effective when compared to the other evaluated strategies. Such evaluations
demonstrate the framework's ability to assist in selecting the control strategy
tailored around the occupancy pattern and building's thermal property.",Systems and Control (eess.SY),,[Submitted on 14 Mar 2019]
Water Distribution System Design Using Multi-Objective Particle Swarm Optimisation,"Mahesh B. Patil, M. Naveen Naidu, A. Vasan, Murari R. R. Varma","Application of the multi-objective particle swarm optimisation (MOPSO)
algorithm to design of water distribution systems is described. An earlier
MOPSO algorithm is augmented with (a) local search, (b) a modified strategy for
assigning the leader, and (c) a modified mutation scheme. For one of the
benchmark problems described in the literature, the effect of each of the above
features on the algorithm performance is demonstrated. The augmented MOPSO
algorithm (called MOPSO+) is applied to five benchmark problems, and in each
case, it finds non-dominated solutions not reported earlier. In addition, for
the purpose of comparing Pareto fronts (sets of non-dominated solutions)
obtained by different algorithms, a new criterion is suggested, and its
usefulness is pointed out with an example. Finally, some suggestions regarding
future research directions are made.",Neural and Evolutionary Computing (cs.NE),,[Submitted on 14 Mar 2019]
Arbitrage with Power Factor Correction using Energy Storage,"Md Umar Hashmi, Deepjyoti Deka, Ana Busic, Lucas Pereira, Scott Backhaus","The importance of reactive power compensation for power factor (PF)
correction will significantly increase with the large-scale integration of
distributed generation interfaced via inverters producing only active power. In
this work, we focus on co-optimizing energy storage for performing energy
arbitrage as well as local power factor correction. The joint optimization
problem is non-convex, but can be solved efficiently using a McCormick
relaxation along with penalty-based schemes. Using numerical simulations on
real data and realistic storage profiles, we show that energy storage can
correct PF locally without reducing arbitrage profit. It is observed that
active and reactive power control is largely decoupled in nature for performing
arbitrage and PF correction (PFC). Furthermore, we consider a real-time
implementation of the problem with uncertain load, renewable and pricing
profiles. We develop a model predictive control based storage control policy
using auto-regressive forecast for the uncertainty. We observe that PFC is
primarily governed by the size of the converter and therefore, look-ahead in
time in the online setting does not affect PFC noticeably. However, arbitrage
profit are more sensitive to uncertainty for batteries with faster ramp rates
compared to slow ramping batteries.",Systems and Control (eess.SY),; Optimization and Control (math.OC),"[Submitted on 14 Mar 2019 (v1), last revised 12 Jan 2020 (this version, v2)]"
Compression and Interpretability of Deep Neural Networks via Tucker Tensor Layer: From First Principles to Tensor Valued Back-Propagation,"Giuseppe G. Calvi, Ahmad Moniri, Mahmoud Mahfouz, Qibin Zhao, Danilo P. Mandic","This work aims to help resolve the two main stumbling blocks in the
application of Deep Neural Networks (DNNs), that is, the exceedingly large
number of trainable parameters and their physical interpretability. This is
achieved through a tensor valued approach, based on the proposed Tucker Tensor
Layer (TTL), as an alternative to the dense weight-matrices of DNNs. This
allows us to treat the weight-matrices of general DNNs as a matrix unfolding of
a higher order weight-tensor. By virtue of the compression properties of tensor
decompositions, this enables us to introduce a novel and efficient framework
for exploiting the multi-way nature of the weight-tensor in order to
dramatically reduce the number of DNN parameters. We also derive the tensor
valued back-propagation algorithm within the TTL framework, by extending the
notion of matrix derivatives to tensors. In this way, the physical
interpretability of the Tucker decomposition is exploited to gain physical
insights into the NN training, through the process of computing gradients with
respect to each factor matrix. The proposed framework is validated on both
synthetic data, and the benchmark datasets MNIST, Fashion-MNIST, and CIFAR-10.
Overall, through the ability to provide the relative importance of each data
feature in training, the TTL back-propagation is shown to help mitigate the
""black-box"" nature inherent to NNs. Experiments also illustrate that the TTL
achieves a 66.63-fold compression on MNIST and Fashion-MNIST, while, by
simplifying the VGG-16 network, it achieves a 10\% speed up in training time,
at a comparable performance.",Machine Learning (cs.LG),; Computer Vision and Pattern Recognition (cs.CV); Signal Processing (eess.SP),"[Submitted on 14 Mar 2019 (v1), last revised 6 Jan 2020 (this version, v2)]"
Wiretap Secret Key Capacity of Tree-PIN,"Alireza Poostindouz, Reihaneh Safavi-Naini","Secret key agreement (SKA) is an essential primitive in cryptography and
information security. In a multiterminal key agreement problem, there are a set
of terminals each having access to a component of vector random variable. The
goal of the terminals is to establish a shared key among a designated subset of
terminals. This problem has been studied under different assumptions about the
adversary's information, the most general case corresponding to the setting
where adversary's information is represented by a random variable that is
correlated with all terminals' variables. Secret key capacity for this general
adversary that is known as the wiretap adversary, is not known in the general
case. In this paper, we calculate the wiretap secret key capacity of a
Tree-PIN, and present a protocol that achieves this capacity for SKA among an
arbitrary subset of terminals. We relate our work with known results and
discuss future directions for research.",Information Theory (cs.IT),; Cryptography and Security (cs.CR),[Submitted on 14 Mar 2019]
Deep Switch Networks for Generating Discrete Data and Language,"Payam Delgosha, Naveen Goela","Multilayer switch networks are proposed as artificial generators of
high-dimensional discrete data (e.g., binary vectors, categorical data, natural
language, network log files, and discrete-valued time series). Unlike
deconvolution networks which generate continuous-valued data and which consist
of upsampling filters and reverse pooling layers, multilayer switch networks
are composed of adaptive switches which model conditional distributions of
discrete random variables. An interpretable, statistical framework is
introduced for training these nonlinear networks based on a maximum-likelihood
objective function. To learn network parameters, stochastic gradient descent is
applied to the objective. This direct optimization is stable until convergence,
and does not involve back-propagation over separate encoder and decoder
networks, or adversarial training of dueling networks. While training remains
tractable for moderately sized networks, Markov-chain Monte Carlo (MCMC)
approximations of gradients are derived for deep networks which contain latent
variables. The statistical framework is evaluated on synthetic data,
high-dimensional binary data of handwritten digits, and web-crawled natural
language data. Aspects of the model's framework such as interpretability,
computational complexity, and generalization ability are discussed.",Machine Learning (cs.LG),; Machine Learning (stat.ML),[Submitted on 14 Mar 2019]
LiDAR-Camera Calibration under Arbitrary Configurations: Observability and Methods,"Bo Fu, Yue Wang, Xiaqing Ding, Yanmei Jiao, Li Tang, Rong Xiong","LiDAR-camera calibration is a precondition for many heterogeneous systems
that fuse data from LiDAR and camera. However, the constraint from common field
of view and the requirement for strict time synchronization make the
calibration a challenging problem. In this paper, we propose a novel
LiDAR-camera calibration method aiming to eliminate these two constraints.
Specifically, we capture a scan of 3D LiDAR when both the environment and the
sensors are stationary, then move the camera to reconstruct the 3D environment
using the sequentially obtained images. Finally, we align 3D visual points to
the laser scan based on tightly couple graph optimization method to calculate
the extrinsic parameters between LiDAR and camera. Under this design, the
configuration of these two sensors are free from the common field of view
constraint owing to the extended view from the moving camera. And we also
eliminate the requirement for strict time synchronization as we only use the
single scan of laser data when the sensors are stationary. We theoretically
derive the conditions of minimal observability for our method and prove that
the accuracy of calibration is improved by collecting more observations from
multiple scattered calibration targets. We validate our method on both
simulation platform and real-world datasets. Experiments show that our method
achieves higher accuracy than other comparable methods, which is in accordance
with our theoretical analysis. In addition, the proposed method is beneficial
to not only plane measurement error based chessboard, but also other point
measurement error based calibration targets, such as boxes and polygonal
boards.",Robotics (cs.RO),,"[Submitted on 14 Mar 2019 (v1), last revised 14 May 2019 (this version, v2)]"
The practice of self-citations: a longitudinal study,"Silvio Peroni, Paolo Ciancarini, Aldo Gangemi, Andrea Giovanni Nuzzolese, Francesco Poggi, Valentina Presutti","In this article, we discuss the outcomes of an experiment where we analysed
whether and to what extent the introduction, in 2012, of the new research
assessment exercise in Italy (a.k.a. Italian Scientific Habilitation) affected
self-citation behaviours in the Italian research community. The Italian
Scientific Habilitation attests to the scientific maturity of researchers and
in Italy, as in many other countries, is a requirement for accessing to a
professorship. To this end, we obtained from ScienceDirect 35,673 articles
published from 1957 and 2016 by the participants to the 2012 Italian Scientific
Habilitation, that resulted in the extraction of 1,379,050 citations retrieved
through Semantic Publishing technologies. Our analysis showed an overall
increment in author self-citations (i.e. where the citing article and the cited
article share at least one author) in several of the 24 academic disciplines
considered. However, we depicted a stronger causal relation between such
increment and the rules introduced by the 2012 Italian Scientific Habilitation
in 10 out of 24 disciplines analysed.",Digital Libraries (cs.DL),,"[Submitted on 14 Mar 2019 (v1), last revised 19 Feb 2020 (this version, v3)]"
Looking for the Devil in the Details: Learning Trilinear Attention Sampling Network for Fine-grained Image Recognition,"Heliang Zheng, Jianlong Fu, Zheng-Jun Zha, Jiebo Luo","Learning subtle yet discriminative features (e.g., beak and eyes for a bird)
plays a significant role in fine-grained image recognition. Existing
attention-based approaches localize and amplify significant parts to learn
fine-grained details, which often suffer from a limited number of parts and
heavy computational cost. In this paper, we propose to learn such fine-grained
features from hundreds of part proposals by Trilinear Attention Sampling
Network (TASN) in an efficient teacher-student manner. Specifically, TASN
consists of 1) a trilinear attention module, which generates attention maps by
modeling the inter-channel relationships, 2) an attention-based sampler which
highlights attended parts with high resolution, and 3) a feature distiller,
which distills part features into a global one by weight sharing and feature
preserving strategies. Extensive experiments verify that TASN yields the best
performance under the same settings with the most competitive approaches, in
iNaturalist-2017, CUB-Bird, and Stanford-Cars datasets.",Computer Vision and Pattern Recognition (cs.CV),,"[Submitted on 14 Mar 2019 (v1), last revised 11 Jun 2019 (this version, v2)]"
Deep Reinforcement Learning with Feedback-based Exploration,"Jan Scholten, Daan Wout, Carlos Celemin, Jens Kober","Deep Reinforcement Learning has enabled the control of increasingly complex
and high-dimensional problems. However, the need of vast amounts of data before
reasonable performance is attained prevents its widespread application. We
employ binary corrective feedback as a general and intuitive manner to
incorporate human intuition and domain knowledge in model-free machine
learning. The uncertainty in the policy and the corrective feedback is combined
directly in the action space as probabilistic conditional exploration. As a
result, the greatest part of the otherwise ignorant learning process can be
avoided. We demonstrate the proposed method, Predictive Probabilistic Merging
of Policies (PPMP), in combination with DDPG. In experiments on continuous
control problems of the OpenAI Gym, we achieve drastic improvements in sample
efficiency, final performance, and robustness to erroneous feedback, both for
human and synthetic feedback. Additionally, we show solutions beyond the
demonstrated knowledge.",Machine Learning (cs.LG),; Artificial Intelligence (cs.AI); Machine Learning (stat.ML),[Submitted on 14 Mar 2019]
Episodic Memory Reader: Learning What to Remember for Question Answering from Streaming Data,"Moonsu Han, Minki Kang, Hyunwoo Jung, Sung Ju Hwang","We consider a novel question answering (QA) task where the machine needs to
read from large streaming data (long documents or videos) without knowing when
the questions will be given, which is difficult to solve with existing QA
methods due to their lack of scalability. To tackle this problem, we propose a
novel end-to-end deep network model for reading comprehension, which we refer
to as Episodic Memory Reader (EMR) that sequentially reads the input contexts
into an external memory, while replacing memories that are less important for
answering \emph{unseen} questions. Specifically, we train an RL agent to
replace a memory entry when the memory is full, in order to maximize its QA
accuracy at a future timepoint, while encoding the external memory using either
the GRU or the Transformer architecture to learn representations that considers
relative importance between the memory entries. We validate our model on a
synthetic dataset (bAbI) as well as real-world large-scale textual QA
(TriviaQA) and video QA (TVQA) datasets, on which it achieves significant
improvements over rule-based memory scheduling policies or an RL-based baseline
that independently learns the query-specific importance of each memory.",Machine Learning (cs.LG),; Computation and Language (cs.CL); Machine Learning (stat.ML),"[Submitted on 14 Mar 2019 (v1), last revised 9 Jun 2019 (this version, v3)]"
No-regret Exploration in Contextual Reinforcement Learning,"Aditya Modi, Ambuj Tewari","We consider the recently proposed reinforcement learning (RL) framework of
Contextual Markov Decision Processes (CMDP), where the agent interacts with a
(potentially adversarial) sequence of episodic tabular MDPs. In addition, a
context vector determining the MDP parameters is available to the agent at the
start of each episode, thereby allowing it to learn a context-dependent
near-optimal policy. In this paper, we propose a no-regret online RL algorithm
in the setting where the MDP parameters are obtained from the context using
generalized linear mappings (GLMs). We propose and analyze optimistic and
randomized exploration methods which make (time and space) efficient online
updates. The GLM based model subsumes previous work in this area and also
improves previous known bounds in the special case where the contextual mapping
is linear. In addition, we demonstrate a generic template to derive confidence
sets using an online learning oracle and give a lower bound for the setting.",Machine Learning (cs.LG),; Artificial Intelligence (cs.AI); Machine Learning (stat.ML),"[Submitted on 14 Mar 2019 (v1), last revised 17 Jun 2020 (this version, v3)]"
LIKE Patterns and Complexity,Holger Petersen,"We investigate the expressive power and complexity questions for the LIKE
operator in SQL.",Computational Complexity (cs.CC),; Formal Languages and Automata Theory (cs.FL),[Submitted on 14 Mar 2019]
Bayesian topology identification of linear dynamic networks,"Shengling Shi, Giulio Bottegal, Paul M. J. Van den Hof","In networks of dynamic systems, one challenge is to identify the
interconnection structure on the basis of measured signals. Inspired by a
Bayesian approach in [1], in this paper, we explore a Bayesian model selection
method for identifying the connectivity of networks of transfer functions,
without the need to estimate the dynamics. The algorithm employs a Bayesian
measure and a forward-backward search algorithm. To obtain the Bayesian
measure, the impulse responses of network modules are modeled as Gaussian
processes and the hyperparameters are estimated by marginal likelihood
maximization using the expectation-maximization algorithm. Numerical results
demonstrate the effectiveness of this method.",Systems and Control (eess.SY),,[Submitted on 14 Mar 2019]
Teaching with IMPACT,"Carl Trimbach, Michael Littman","Like many problems in AI in their general form, supervised learning is
computationally intractable. We hypothesize that an important reason humans can
learn highly complex and varied concepts, in spite of the computational
difficulty, is that they benefit tremendously from experienced and insightful
teachers. This paper proposes a new learning framework that provides a role for
a knowledgeable, benevolent teacher to guide the process of learning a target
concept in a series of ""curricular"" phases or rounds. In each round, the
teacher's role is to act as a moderator, exposing the learner to a subset of
the available training data to move it closer to mastering the target concept.
Via both theoretical and empirical evidence, we argue that this framework
enables simple, efficient learners to acquire very complex concepts from
examples. In particular, we provide multiple examples of concept classes that
are known to be unlearnable in the standard PAC setting along with provably
efficient algorithms for learning them in our extended setting. A key focus of
our work is the ability to learn complex concepts on top of simpler, previously
learned, concepts---a direction with the potential of creating more competent
artificial agents.",Machine Learning (cs.LG),; Machine Learning (stat.ML),[Submitted on 14 Mar 2019]
